omistaja,yllapitaja,tyyppi,lisatieto,kunta,reitti,kohde,sijainti,palvelut,linkki,rotate,source_id,y_eureffin,geometry,x_eureffin
Muu,Muu,Nahtavyys,,Paimio,,Askalan vesivoimalaitos,,,,,78,6715364.14315566,Point (263512.93826607 6715364.14315566),263512.93826607
Muu,Yksityinen / yhdistys,Nahtavyys,,Paimio,,Askalan ketoalue ja ketotalo,,,,,79,6715429.46711118,Point (263413.14910684 6715429.46711118),263413.149106842
Muu,Muu,Nahtavyys,,Paimio,,Askalan vesivoimalaitoksen pato,,,,,80,6715666.99257219,Point (263497.20251081 6715666.99257219),263497.20251081
Muu,Muu,Nakoala,,Paimio,,Rukkijoen kylämiljöö,,,,,81,6715122.43627933,Point (264050.28772176 6715122.43627933),264050.287721765
Kunta,Kunta / tekninen toimi,Nakoala,,Paimio,,Näkymä Paimionjoelle Isosillalta,,,,,82,6710646.87957185,Point (262347.12760997 6710646.87957185),262347.127609974
Kunta,Kunta / tekninen toimi,Silta,,Paimio,,Isosilta,,,,,83,6710644.74130079,Point (262381.33857484 6710644.74130079),262381.338574839
Muu,Muu,Nakoala,,Paimio,,Postinkujan idyllinen asuinalue,,,,,84,6710423.70700485,Point (262512.48230509 6710423.70700485),262512.482305094
Muu,Muu,Nakoala,Nakolinna on korkealla mäen päällä sijainnut muinaislinna. Mäeltä on hieno näkymä Paimionjokilaaksoon. Mäelle ei ole merkittyä reittiä.,Paimio,,Nakolinna,,,,,85,6711833.99357832,Point (261437.59283008 6711833.99357832),261437.592830081
Kunta,Kunta / tekninen toimi,Opastaulu,"Jokipuisto, entinen saha, Tammireitit",Paimio,,Jokipuisto,,,,,86,6710184.47656161,Point (262362.97438072 6710184.47656161),262362.974380722
Kunta,Kunta / tekninen toimi,Nahtavyys,Kohiseva on koski Vähäjoessa. Vanhan myllypadon kivimuuri on nähtävissä.,Paimio,,Kohiseva,,,,,87,6710151.95707652,Point (263563.43025538 6710151.95707652),263563.430255381
Kunta,Kunta / tekninen toimi,Opastaulu,,Paimio,,Vähäjokipolku,,,,,88,6710134.32097917,Point (263435.94230863 6710134.32097917),263435.942308635
Kunta,Kunta / tekninen toimi,Pysakointialue,,Paimio,,Vähäjokipolku,,,,,89,6710131.7816208,Point (263437.7471239 6710131.7816208),263437.747123899
Kunta,Kunta / tekninen toimi,Pysakointialue,,Paimio,,Jokipuisto,,,,,90,6710162.38445566,Point (262357.672412 6710162.38445566),262357.672411997
Muu,Muu,Nakoala,,Paimio,,Näköala Paimionjoelle Juntolassa,,,,,91,6719632.31910728,Point (264206.70164754 6719632.31910728),264206.701647541
Kunta,Kunta / muu,Opastaulu,,Paimio,,Paimion kotiseutumuseo,,,,,92,6712470.4824152,Point (263096.72849276 6712470.4824152),263096.72849276
Kunta,Kunta / tekninen toimi,Opastaulu,,Paimio,,Muurahaispolku,,,,,93,6712488.83398629,Point (263090.08636407 6712488.83398629),263090.086364071
Kunta,Kunta / muu,Nahtavyys,,Paimio,,Paimion kotiseutumuseo ja kesäteatteri,,,,,94,6712541.60552123,Point (263040.7096171 6712541.60552123),263040.709617095
Kunta,Kunta / tekninen toimi,Uimaranta,,Paimio,,Ankkalammen maauimala,,,,,95,6712207.85665009,Point (263329.81524975 6712207.85665009),263329.815249749
Kunta,Kunta / muu,Pysakointialue,,Paimio,,Kotiseutumuseo ja Muurahaispolku,,,,,96,6712505.83411144,Point (263065.72811696 6712505.83411144),263065.728116963
Kunta,Kunta / tekninen toimi,Pysakointialue,,Paimio,,Ankkalammen maauimala,,,,,97,6712185.24333292,Point (263308.61087276 6712185.24333292),263308.610872756
Kunta,Kunta / tekninen toimi,Kuivakaymala,WC avoinna kesäpäivisin,Paimio,,Ankkalammen maauimala,,,,,98,6712190.11976974,Point (263367.5695639 6712190.11976974),263367.569563902
Kunta,Kunta / tekninen toimi,Tulipaikka,Jokipuiston huvimaja ja tulentekopaikka,Paimio,,Jokipuisto,,,,,99,6710126.44988021,Point (262282.32483585 6710126.44988021),262282.32483585
Muu,Muu,Kahvila,Katso aukioloajat leipomo-kahvilan omilta verkkosivuilta,Paimio,,Cafe Asta,,,https://www.cafeasta.fi/,,100,6710119.44340858,Point (262897.28287398 6710119.44340858),262897.282873978
Muu,Muu,Kahvila,Katso aukioloajat kioskin omilta verkkosivuilta,Paimio,,R-kioski,,,https://www.r-kioski.fi/kioskit/paimio-asematie-2/,,101,6710114.56249524,Point (262884.75975171 6710114.56249524),262884.759751715
Muu,Muu,Kahvila,Katso aukioloajat kahvilan omilta verkkosivuilta,Paimio,,,,,https://www.cafeatsalea.fi/,,102,6715078.06867481,Point (264086.14062923 6715078.06867481),264086.140629235
Muu,Yksityinen / yhdistys,Opastaulu,Oinilan Jokipolku on noin 2 km pitkä opastettu reitti Paimionjoen rantamilla.,Paimio,,Oinilan Jokipolun lähtöpaikka,,,,,103,6711438.80422133,Point (262864.54624808 6711438.80422133),262864.546248077
Kunta,Kunta / tekninen toimi,Pysakointialue,,Paimio,,Oinilan Jokipolku,,,,,104,6711437.63377629,Point (262870.90160174 6711437.63377629),262870.90160174
Kunta,Kunta / tekninen toimi,Nahtavyys,Paimion Jokipuistossa on monenlaista nähtävää,Paimio,,Paimion Jokipuisto,,,,,105,6710171.89882556,Point (262358.44721861 6710171.89882556),262358.447218613
Kunta,Kunta / tekninen toimi,Kuivakaymala,Jokipuiston WC avoinna toukokuun puolesta välistä syyskuun puoleen väliin aamusta iltaan.,Paimio,,Jokipuistp,,,,,106,6710209.3620958,Point (262433.1432402 6710209.3620958),262433.143240197
Muu,Yksityinen / yhdistys,Nahtavyys,"Paimion parantolaa ympäröivät upeat metsät on turvattu paikallisen, Parantolan metsät ry toimesta vuonna 2019.",Paimio,,Parantolan metsä,,,,,107,6710600.42824611,Point (265703.82392554 6710600.42824611),265703.823925543
Kunta,Kunta / tekninen toimi,Opastaulu,Hiekkahelmen alueen reittien opastaulut,Paimio,,,Hiekkahelmi,,,,108,6705635.77589386,Point (263033.25664569 6705635.77589386),263033.256645692
Kunta,Kunta / tekninen toimi,Uimaranta,Hiekkahelmen uimaranta,Paimio,,Hiekkahelmi,,,,,109,6705551.0612411,Point (263031.86641632 6705551.0612411),263031.866416322
Kunta,Kunta / tekninen toimi,Nakoala,,Paimio,,Helmi MTB,,,,,110,6705291.07097326,Point (263747.99211409 6705291.07097326),263747.992114093
Muu,Kunta / tekninen toimi,Nakoala,,Paimio,,,,,,,111,6703556.46868188,Point (262726.55284347 6703556.46868188),262726.552843465
Kunta,Kunta / tekninen toimi,Nakoala,,Paimio,,,,,,,112,6705037.21812876,Point (263699.60406232 6705037.21812876),263699.604062322
Muu,Muu,Kahvila,Katso aukioloajat palveluntarjoajan verkkosivuilta,Paimio,,Neste Paimio,,,https://www.neste.fi/asema/neste-k-paimio,,113,6706504.65701234,Point (264679.33253681 6706504.65701234),264679.332536805
Muu,Muu,Kahvila,Katso aukioloajat Iivarin verkkosivuilta,Paimio,,Iivari cafe & bistro,,,https://www.iivaricafe.fi/,,114,6709396.60682297,Point (263174.32036418 6709396.60682297),263174.32036418
Muu,Muu,Kahvila,Katso lisätietoja Heimon grillin verkkosivuilta,Paimio,,Heimon grilli,,,https://www.facebook.com/heimongrilli/?locale=fi_FI,,115,6710140.28063731,Point (262777.77162609 6710140.28063731),262777.77162609
Muu,Muu,Kahvila,,Paimio,,Tadim kebab & pizzeria,,,,,116,6709951.28256223,Point (262994.73595162 6709951.28256223),262994.735951617
Muu,Muu,Kahvila,,Paimio,,Kulman kuppila,,,,,117,6710220.33738026,Point (262962.51456182 6710220.33738026),262962.514561817
Kunta,Kunta / tekninen toimi,Opastaulu,,Paimio,,Urheilupuisto,,,,,118,6708904.85757081,Point (263225.20624629 6708904.85757081),263225.206246285
Muu,Kunta / tekninen toimi,Opastaulu,,Paimio,,,,,,,119,6706512.22478622,Point (264676.03097091 6706512.22478622),264676.030970914
Muu,Kunta / tekninen toimi,Opastaulu,,Paimio,,Hiihtoputki Finnfoam Paippi,,,,,120,6706424.70857363,Point (264314.82059071 6706424.70857363),264314.820590709
Muu,Yksityinen / yhdistys,Opastaulu,,Paimio,,Rekottilan linnavuori,,,,,121,6706666.23353592,Point (265996.63501858 6706666.23353592),265996.635018578
Muu,Muu,Pysakointialue,,Paimio,,Rekottilan linnavuori,,,,,122,6706671.69931481,Point (265996.96746393 6706671.69931481),265996.967463925
Muu,Yksityinen / yhdistys,Nahtavyys,Rekottilan linnavuorella on nähtävissä muinaislinnan jäänteitä ja hautaröykkiöitä,Paimio,,Rekottilan linnavuori,,,,,123,6706647.52146969,Point (265929.43103762 6706647.52146969),265929.43103762
Muu,Yksityinen / yhdistys,Nahtavyys,Sukselan kyläkoulu on nykyisin Sukselan kyläyhdistyksen omistama,Paimio,,Sukselan vanha kyläkoulu ja Sukselan nurmikenttä,,,,,124,6715604.40939781,Point (262609.50369756 6715604.40939781),262609.503697562
Säätiö,Yksityinen / säätiö,Nahtavyys,Lisätietoja parantolasta saat parantolan vekrkosivuilta,Paimio,,Paimion parantola / Paimio sanatorium,,,https://paimiosanatorium.com/fi/etusivu/,,125,6710800.39350339,Point (265569.8668151 6710800.39350339),265569.866815101
Säätiö,Yksityinen / säätiö,Pysakointialue,,Paimio,,"Parantolan metsän, polun ja Preitilän reitin pysäköintialue",,,,,126,6710604.3661317,Point (265696.42228898 6710604.3661317),265696.422288982
Kunta,Kunta / tekninen toimi,Opastaulu,Paimion frisbeegolfpuistossa on täysimittainen 18 -väyläinen rata sekä 6 väyläinen multigolfrata,Paimio,,Paimio Disc Golf Park,,,,,127,6709828.12431544,Point (264803.24857059 6709828.12431544),264803.248570586
Kunta,Yksityinen / yhdistys,Nahtavyys,,Paimio,,Spurilan muinaisjäännösalue,,,,,128,6710833.24520898,Point (263578.31412746 6710833.24520898),263578.314127463
Muu,Yksityinen / yhdistys,Nahtavyys,,Paimio,,Varasvuoren hyppyrimäet,,,,,129,6710497.70500204,Point (264672.35243948 6710497.70500204),264672.352439482
Kunta,Kunta / muu,Infopiste,Kaupungin matkailuneuvonta muulloin kuin kesäaikaan,Paimio,,Kaupungintalo ja kirjasto,,,www.paimio.fi / https://visitpaimio.fi/,,130,6709912.83506323,Point (263146.86350371 6709912.83506323),263146.863503707
Kunta,Kunta / muu,Infopiste,,Paimio,,Paimion matkailuneuvonta kesäaikaan,,,www.paimio.fi / https://visitpaimio.fi/,,131,6709554.71762843,Point (263200.6291524 6709554.71762843),263200.629152402
Säätiö,Yksityinen / säätiö,Nahtavyys,Katso lisätietoja kaupungin verkkosivuilta,Paimio,,Käsityömuseo Miila,,,https://www.paimio.fi/kulttuuri-ja-vapaa-aika/museot/kasityomuseo-miila/,,132,6709518.57733855,Point (263152.80126407 6709518.57733855),263152.801264069
Kunta,Kunta / muu,Nahtavyys,Sähkötekniikan erikoismuseo Paimion Sähkömuseo sijaitsee Paimion keskustassa.,Paimio,,Paimion sähkömuseo,,,https://www.paimio.fi/kulttuuri-ja-vapaa-aika/museot/paimion-sahkomuseo/,,133,6709572.10765676,Point (263200.83822607 6709572.10765676),263200.838226072
Muu,Muu,Nahtavyys,,Paimio,,"Paimion kirkko, eli Pyhän Mikaelin kirkko",,,https://www.paimionseurakunta.fi/kirkot-ja-tilat/paimion-kirkko,,134,6709818.6977241,Point (263150.58032593 6709818.6977241),263150.580325933
Muu,Muu,Nahtavyys,,Paimio,,Räpälän vanhan kirkon paikka,,,,,135,6710449.01320297,Point (262248.96658146 6710449.01320297),262248.966581459
Muu,Muu,Nahtavyys,,Paimio,,Pyhän Jaakobin kirkko,,,,,136,6706396.4684604,Point (260019.56589944 6706396.4684604),260019.565899436
Muu,Yksityinen / yhdistys,Nakoala,,Paimio,,Näkymä Paimionjokilaaksoon,,,,,137,6711947.61805062,Point (262819.48776515 6711947.61805062),262819.487765154
Muu,Yksityinen / yhdistys,Nakoala,Näkymä Kevolan peltoaukealle,Paimio,,Rekottilan linnavuori,,,,,138,6706632.95857528,Point (265928.28357034 6706632.95857528),265928.283570338
Muu,Yksityinen / yhdistys,Pysakointialue,,Paimio,,Askalan pysäköintialue,,,,,139,6715358.88376285,Point (263526.54609018 6715358.88376285),263526.546090176
Kunta,Kunta / muu,Pysakointialue,HUOM! P-paikat on varattu vain koulun henkilökunnan käyttöön arkisin klo 7-15.,Kaarina,,,Auranlaakso koulu,,,,140,6712608.41942186,Point (245421.33997928 6712608.41942186),245421.339979275
