source_id,kohde,tyyppi,kunta,lisatieto,palvelut,linkki,lipas_type_name,lipas_type_code,lipas_loi_type,omistaja,yllapitaja,sijainti,x_eureffin,y_eureffin,geometry
92,Paimion kotiseutumuseo,Opastaulu,Paimio,,,,,,information-board,Kunta,Kunta / muu,,263096.72849276,6712470.4824152,Point (263096.72849276 6712470.4824152)
93,Muurahaispolku,Opastaulu,Paimio,,,,,,information-board,Kunta,Kunta / tekninen toimi,,263090.086364071,6712488.83398629,Point (263090.08636407 6712488.83398629)
94,Paimion kotiseutumuseo ja kesäteatteri,Nahtavyys,Paimio,,,,,,building,Kunta,Kunta / muu,,263040.709617095,6712541.60552123,Point (263040.7096171 6712541.60552123)
96,Kotiseutumuseo ja Muurahaispolku,Pysakointialue,Paimio,,,,,,parking-spot,Kunta,Kunta / muu,,263065.728116963,6712505.83411144,Point (263065.72811696 6712505.83411144)
97,Ankkalammen maauimala,Pysakointialue,Paimio,,,,,,parking-spot,Kunta,Kunta / tekninen toimi,,263308.610872756,6712185.24333292,Point (263308.61087276 6712185.24333292)
98,Ankkalammen maauimala,Kuivakaymala,Paimio,WC avoinna kesäpäivisin,,,,,dry-toilet,Kunta,Kunta / tekninen toimi,,263367.569563902,6712190.11976974,Point (263367.5695639 6712190.11976974)
99,Jokipuisto,Tulipaikka,Paimio,Jokipuiston huvimaja ja tulentekopaikka,,,,,fire-pit,Kunta,Kunta / tekninen toimi,,262282.32483585,6710126.44988021,Point (262282.32483585 6710126.44988021)
103,Oinilan Jokipolun lähtöpaikka,Opastaulu,Paimio,Oinilan Jokipolku on noin 2 km pitkä opastettu reitti Paimionjoen rantamilla.,,,,,information-board,Muu,Yksityinen / yhdistys,,262864.546248077,6711438.80422133,Point (262864.54624808 6711438.80422133)
104,Oinilan Jokipolku,Pysakointialue,Paimio,,,,,,parking-spot,Kunta,Kunta / tekninen toimi,,262870.90160174,6711437.63377629,Point (262870.90160174 6711437.63377629)
105,Paimion Jokipuisto,Nahtavyys,Paimio,Paimion Jokipuistossa on monenlaista nähtävää,,,,,natural-attraction,Kunta,Kunta / tekninen toimi,,262358.447218613,6710171.89882556,Point (262358.44721861 6710171.89882556)
106,Jokipuistp,Kuivakaymala,Paimio,Jokipuiston WC avoinna toukokuun puolesta välistä syyskuun puoleen väliin aamusta iltaan.,,,,,dry-toilet,Kunta,Kunta / tekninen toimi,,262433.143240197,6710209.3620958,Point (262433.1432402 6710209.3620958)
107,Parantolan metsä,Nahtavyys,Paimio,"Paimion parantolaa ympäröivät upeat metsät on turvattu paikallisen, Parantolan metsät ry toimesta vuonna 2019.",,,,,natural-attraction,Muu,Yksityinen / yhdistys,,265703.823925543,6710600.42824611,Point (265703.82392554 6710600.42824611)
108,,Opastaulu,Paimio,Hiekkahelmen alueen reittien opastaulut,,,,,information-board,Kunta,Kunta / tekninen toimi,Hiekkahelmi,263033.256645692,6705635.77589386,Point (263033.25664569 6705635.77589386)
110,Helmi MTB,Nakoala,Paimio,,,,,,viewpoint,Kunta,Kunta / tekninen toimi,,263747.992114093,6705291.07097326,Point (263747.99211409 6705291.07097326)
111,,Nakoala,Paimio,,,,,,viewpoint,Muu,Kunta / tekninen toimi,,262726.552843465,6703556.46868188,Point (262726.55284347 6703556.46868188)
112,,Nakoala,Paimio,,,,,,viewpoint,Kunta,Kunta / tekninen toimi,,263699.604062322,6705037.21812876,Point (263699.60406232 6705037.21812876)
118,Urheilupuisto,Opastaulu,Paimio,,,,,,information-board,Kunta,Kunta / tekninen toimi,,263225.206246285,6708904.85757081,Point (263225.20624629 6708904.85757081)
